name,bus,capacity,amount,type,profile,carrier
BB_utility_scale_wind,BB_bus_el,232,,volatile,BB_utility_scale_wind,wind
BB_utility_scale_solar,BB_bus_el,136.88,,volatile,BB_utility_scale_solar,solar
BB_distributed_scale_solar,BB_bus_el,95.12,,volatile,BB_distributed_scale_solar,solar
BB_load,BB_bus_el,,2318912.968,load,BB_load,electricity
